pair,turn,round,type,is_gesture,from_ts,to_ts,referent,comment,duration,object,speech,speaker,trial,director,correct_answer,given_answer,accuracy,processed_utterance,pos_sequence,lemmas_sequence,text_lemma_pos,turn_from_ts,turn_to_ts,hand,pair_speaker,words,lemmas,pos,lemmas_pos,transcriptions,contain_text,segmentation method
pair04,10,1,iconic,gesture,25.36,25.689,07B-WF,,0.3290000000000006,09,even kijken hoe was het platformpje met twee pootjes?,A,1,B,5,5,1,even kijken hoe was het platformpje met twee pootjes,ADV VERB ADV AUX PRON NOUN ADP NUM NOUN ,even kijken hoe zijn het platformp met twee poot ,even_even#ADV kijken_kijken#VERB hoe_hoe#ADV was_zijn#AUX het_het#PRON platformpje_platformp#NOUN met_met#ADP twee_twee#NUM pootjes_poot#NOUN ,24.23,26.871,"R, L",pair04_A,hoe was het platformpje met twee,hoe zijn het platformp met twee,ADV AUX PRON NOUN ADP NUM,hoe#ADV zijn#AUX het#PRON platformp#NOUN met#ADP twee#NUM,manual,True,manual
pair04,10,1,iconic,gesture,26.017,26.267,07C-WF,,0.25,09,even kijken hoe was het platformpje met twee pootjes?,A,1,B,5,5,1,even kijken hoe was het platformpje met twee pootjes,ADV VERB ADV AUX PRON NOUN ADP NUM NOUN ,even kijken hoe zijn het platformp met twee poot ,even_even#ADV kijken_kijken#VERB hoe_hoe#ADV was_zijn#AUX het_het#PRON platformpje_platformp#NOUN met_met#ADP twee_twee#NUM pootjes_poot#NOUN ,24.23,26.871,"R, L",pair04_A,met twee pootjes,met twee poot,ADP NUM NOUN,met#ADP twee#NUM poot#NOUN,manual,True,manual
pair04,11,1,iconic,gesture,30.627,31.603,09B-REP,,0.9760000000000026,09,nee dus het staat op ja nee het staat dus op een ja uh ja zo'n rond ja kijk zo zo'n rond opzetstukje het is een ja,B,1,B,5,5,1,nee dus het staat op ja nee het staat dus op een ja ja zo'n rond ja kijk zo zo'n rond opzetstukje het is een ja,INTJ ADV PRON VERB ADP INTJ INTJ PRON VERB ADV ADP NUM INTJ INTJ PRON ADP INTJ VERB ADV PRON ADP NOUN PRON AUX DET INTJ ,nee dus het staan op ja nee het vaststaan dus op een ja ja zo'n rond ja kijken zo zo'n rond opzetstuk het zijn één ja ,nee_nee#INTJ dus_dus#ADV het_het#PRON staat_staan#VERB op_op#ADP ja_ja#INTJ nee_nee#INTJ het_het#PRON staat_vaststaan#VERB dus_dus#ADV op_op#ADP een_een#NUM ja_ja#INTJ ja_ja#INTJ zo'n_zo'n#PRON rond_rond#ADP ja_ja#INTJ kijk_kijken#VERB zo_zo#ADV zo'n_zo'n#PRON rond_rond#ADP opzetstukje_opzetstuk#NOUN het_het#PRON is_zijn#AUX een_één#DET ja_ja#INTJ ,27.021,36.438,R,pair04_B,ja zo'n rond,ja zo'n rond,INTJ PRON ADP,ja#INTJ zo'n#PRON rond#ADP,manual,True,manual
pair04,11,1,iconic,gesture,32.472,33.896,09B-rep,,1.4239999999999995,09,nee dus het staat op ja nee het staat dus op een ja uh ja zo'n rond ja kijk zo zo'n rond opzetstukje het is een ja,B,1,B,5,5,1,nee dus het staat op ja nee het staat dus op een ja ja zo'n rond ja kijk zo zo'n rond opzetstukje het is een ja,INTJ ADV PRON VERB ADP INTJ INTJ PRON VERB ADV ADP NUM INTJ INTJ PRON ADP INTJ VERB ADV PRON ADP NOUN PRON AUX DET INTJ ,nee dus het staan op ja nee het vaststaan dus op een ja ja zo'n rond ja kijken zo zo'n rond opzetstuk het zijn één ja ,nee_nee#INTJ dus_dus#ADV het_het#PRON staat_staan#VERB op_op#ADP ja_ja#INTJ nee_nee#INTJ het_het#PRON staat_vaststaan#VERB dus_dus#ADV op_op#ADP een_een#NUM ja_ja#INTJ ja_ja#INTJ zo'n_zo'n#PRON rond_rond#ADP ja_ja#INTJ kijk_kijken#VERB zo_zo#ADV zo'n_zo'n#PRON rond_rond#ADP opzetstukje_opzetstuk#NOUN het_het#PRON is_zijn#AUX een_één#DET ja_ja#INTJ ,27.021,36.438,R,pair04_B,kijk zo zo'n rond,kijken zo zo'n rond,VERB ADV PRON ADP,kijken#VERB zo#ADV zo'n#PRON rond#ADP,manual,True,manual
pair04,11,1,iconic,gesture,34.218,35.104,09B,,0.8859999999999957,09,nee dus het staat op ja nee het staat dus op een ja uh ja zo'n rond ja kijk zo zo'n rond opzetstukje het is een ja,B,1,B,5,5,1,nee dus het staat op ja nee het staat dus op een ja ja zo'n rond ja kijk zo zo'n rond opzetstukje het is een ja,INTJ ADV PRON VERB ADP INTJ INTJ PRON VERB ADV ADP NUM INTJ INTJ PRON ADP INTJ VERB ADV PRON ADP NOUN PRON AUX DET INTJ ,nee dus het staan op ja nee het vaststaan dus op een ja ja zo'n rond ja kijken zo zo'n rond opzetstuk het zijn één ja ,nee_nee#INTJ dus_dus#ADV het_het#PRON staat_staan#VERB op_op#ADP ja_ja#INTJ nee_nee#INTJ het_het#PRON staat_vaststaan#VERB dus_dus#ADV op_op#ADP een_een#NUM ja_ja#INTJ ja_ja#INTJ zo'n_zo'n#PRON rond_rond#ADP ja_ja#INTJ kijk_kijken#VERB zo_zo#ADV zo'n_zo'n#PRON rond_rond#ADP opzetstukje_opzetstuk#NOUN het_het#PRON is_zijn#AUX een_één#DET ja_ja#INTJ ,27.021,36.438,R,pair04_B,rond opzetstukje het is,rond opzetstuk het zijn,ADP NOUN PRON AUX,rond#ADP opzetstuk#NOUN het#PRON zijn#AUX,manual,True,manual
pair04,14,1,iconic,gesture,35.963,39.363,09B-rep,,3.3999999999999986,09,het is niet een cirkel maar langwerpig soort,B,1,B,5,5,1,het is niet een cirkel maar langwerpig soort,PRON AUX ADV DET NOUN CCONJ ADJ NOUN ,het zijn niet een cirkel maar langwerpig soort ,het_het#PRON is_zijn#AUX niet_niet#ADV een_een#DET cirkel_cirkel#NOUN maar_maar#CCONJ langwerpig_langwerpig#ADJ soort_soort#NOUN ,37.051,40.076,R,pair04_B,een ja het is niet een cirkel maar langwerpig,één ja het zijn niet een cirkel maar langwerpig,DET INTJ PRON AUX ADV DET NOUN CCONJ ADJ,één#DET ja#INTJ het#PRON zijn#AUX niet#ADV een#DET cirkel#NOUN maar#CCONJ langwerpig#ADJ,manual,True,manual
pair04,15,1,iconic,gesture,40.616,41.453,main,,0.8370000000000033,09,je hebt zeg maar de hoofdbak bij elk plaatje,A,1,B,5,5,1,je hebt zeg maar de hoofdbak bij elk plaatje,PRON VERB VERB ADV DET NOUN ADP DET NOUN ,je hebben zeggen maar de hoofdbak bij elk plaat ,je_je#PRON hebt_hebben#VERB zeg_zeggen#VERB maar_maar#ADV de_de#DET hoofdbak_hoofdbak#NOUN bij_bij#ADP elk_elk#DET plaatje_plaat#NOUN ,39.585,42.191,"R, L",pair04_A,de hoofdbak bij elk,de hoofdbak bij elk,DET NOUN ADP DET,de#DET hoofdbak#NOUN bij#ADP elk#DET,manual,True,manual
pair04,15,1,iconic,gesture,42.0,42.691,main,,0.6910000000000025,09,je hebt zeg maar de hoofdbak bij elk plaatje,A,1,B,5,5,1,je hebt zeg maar de hoofdbak bij elk plaatje,PRON VERB VERB ADV DET NOUN ADP DET NOUN ,je hebben zeggen maar de hoofdbak bij elk plaat ,je_je#PRON hebt_hebben#VERB zeg_zeggen#VERB maar_maar#ADV de_de#DET hoofdbak_hoofdbak#NOUN bij_bij#ADP elk_elk#DET plaatje_plaat#NOUN ,39.585,42.191,"R, L",pair04_A,elk plaatje,elk plaat,DET NOUN,elk#DET plaat#NOUN,manual,True,manual
pair04,16,1,iconic,gesture,44.781,46.381,09B,Pre-stroke hold,1.6000000000000014,09,ja en die staat op een ja die staat op een op op zo'n vorm,B,1,B,5,5,1,ja en die staat op een ja die staat op een op op zo'n vorm,INTJ CCONJ PRON VERB ADP DET INTJ PRON VERB ADP DET ADP ADP DET NOUN ,ja en die staan op een ja die staan op een op op zo'n vorm ,ja_ja#INTJ en_en#CCONJ die_die#PRON staat_staan#VERB op_op#ADP een_een#DET ja_ja#INTJ die_die#PRON staat_staan#VERB op_op#ADP een_een#DET op_op#ADP op_op#ADP zo'n_zo'n#DET vorm_vorm#NOUN ,41.333,45.513,R,pair04_B,op zo'n vorm en dan,op zo'n vorm en dan,ADP DET NOUN CCONJ ADV,op#ADP zo'n#DET vorm#NOUN en#CCONJ dan#ADV,manual,True,manual
pair04,18,1,iconic,gesture,47.963,48.454,general,,0.49099999999999966,09,en dan aan de zijkant aan de linkerkant,B,1,B,5,5,1,en dan aan de zijkant aan de linkerkant,CCONJ ADV ADP DET NOUN ADP DET NOUN ,en dan aan de zijkant aan de linkerkant ,en_en#CCONJ dan_dan#ADV aan_aan#ADP de_de#DET zijkant_zijkant#NOUN aan_aan#ADP de_de#DET linkerkant_linkerkant#NOUN ,46.532,48.727,L,pair04_B,aan de linkerkant,aan de linkerkant,ADP DET NOUN,aan#ADP de#DET linkerkant#NOUN,manual,True,manual
pair04,20,1,iconic,gesture,50.395,51.017,09C,,0.6219999999999999,09,um heb je een cirkel dat laat maar zeggen uitsteekt dus ja dit #laughs# ,B,1,B,5,5,1,heb je een cirkel dat laat maar zeggen uitsteekt dus ja dit,AUX PRON DET NOUN PRON VERB ADV VERB VERB ADV INTJ PRON ,hebben je een cirkel dat laten maar zeggen uitsteekt dus ja dit ,heb_hebben#AUX je_je#PRON een_een#DET cirkel_cirkel#NOUN dat_dat#PRON laat_laten#VERB maar_maar#ADV zeggen_zeggen#VERB uitsteekt_uitsteekt#VERB dus_dus#ADV ja_ja#INTJ dit_dit#PRON ,49.113,54.933,L,pair04_B,heb je een cirkel dat laat maar,hebben je een cirkel dat laten maar,AUX PRON DET NOUN PRON VERB ADV,hebben#AUX je#PRON een#DET cirkel#NOUN dat#PRON laten#VERB maar#ADV,manual,True,manual
pair04,20,1,iconic,gesture,52.49,52.889,09C,,0.3990000000000009,09,um heb je een cirkel dat laat maar zeggen uitsteekt dus ja dit #laughs# ,B,1,B,5,5,1,heb je een cirkel dat laat maar zeggen uitsteekt dus ja dit,AUX PRON DET NOUN PRON VERB ADV VERB VERB ADV INTJ PRON ,hebben je een cirkel dat laten maar zeggen uitsteekt dus ja dit ,heb_hebben#AUX je_je#PRON een_een#DET cirkel_cirkel#NOUN dat_dat#PRON laat_laten#VERB maar_maar#ADV zeggen_zeggen#VERB uitsteekt_uitsteekt#VERB dus_dus#ADV ja_ja#INTJ dit_dit#PRON ,49.113,54.933,L,pair04_B,uitsteekt,uitsteekt,VERB,uitsteekt#VERB,manual,True,manual
pair04,20,1,iconic,gesture,53.75,54.127,09C,,0.37700000000000244,09,um heb je een cirkel dat laat maar zeggen uitsteekt dus ja dit #laughs# ,B,1,B,5,5,1,heb je een cirkel dat laat maar zeggen uitsteekt dus ja dit,AUX PRON DET NOUN PRON VERB ADV VERB VERB ADV INTJ PRON ,hebben je een cirkel dat laten maar zeggen uitsteekt dus ja dit ,heb_hebben#AUX je_je#PRON een_een#DET cirkel_cirkel#NOUN dat_dat#PRON laat_laten#VERB maar_maar#ADV zeggen_zeggen#VERB uitsteekt_uitsteekt#VERB dus_dus#ADV ja_ja#INTJ dit_dit#PRON ,49.113,54.933,R,pair04_B,ja dit,ja dit,INTJ PRON,ja#INTJ dit#PRON,manual,True,manual
pair04,23,1,iconic,gesture,55.254,55.654,09A,,0.4000000000000057,09,en daar bovenop een op een kegel op de kop,B,1,B,5,5,1,en daar bovenop een op een kegel op de kop,CCONJ ADV ADP DET ADP DET NOUN ADP DET NOUN ,en daar bovenop een op een kegel op de kop ,en_en#CCONJ daar_daar#ADV bovenop_bovenop#ADP een_een#DET op_op#ADP een_een#DET kegel_kegel#NOUN op_op#ADP de_de#DET kop_kop#NOUN ,55.147,57.47,R,pair04_B,en daar bovenop een,en daar bovenop een,CCONJ ADV ADP DET,en#CCONJ daar#ADV bovenop#ADP een#DET,manual,True,manual
pair04,23,1,iconic,gesture,55.89,56.327,09A,Post-stroke hold,0.4369999999999976,09,en daar bovenop een op een kegel op de kop,B,1,B,5,5,1,en daar bovenop een op een kegel op de kop,CCONJ ADV ADP DET ADP DET NOUN ADP DET NOUN ,en daar bovenop een op een kegel op de kop ,en_en#CCONJ daar_daar#ADV bovenop_bovenop#ADP een_een#DET op_op#ADP een_een#DET kegel_kegel#NOUN op_op#ADP de_de#DET kop_kop#NOUN ,55.147,57.47,R,pair04_B,bovenop een op een,bovenop een op een,ADP DET ADP DET,bovenop#ADP een#DET op#ADP een#DET,manual,True,manual
pair04,25,1,iconic,gesture,58.563,59.563,09D,,1.0,09,en daarachter nog een uh cirkelplateau dat wel,B,1,B,5,5,1,en daarachter nog een cirkelplateau dat wel,CCONJ ADV ADV DET NOUN PRON ADV ,en daarachter nog een cirkelplateau dat wel ,en_en#CCONJ daarachter_daarachter#ADV nog_nog#ADV een_een#DET cirkelplateau_cirkelplateau#NOUN dat_dat#PRON wel_wel#ADV ,58.213,61.073,R,pair04_B,en daarachter nog een,en daarachter nog een,CCONJ ADV ADV DET,en#CCONJ daarachter#ADV nog#ADV een#DET,manual,True,manual
pair04,25,1,iconic,gesture,59.745,60.581,09D,,0.8360000000000056,09,en daarachter nog een uh cirkelplateau dat wel,B,1,B,5,5,1,en daarachter nog een cirkelplateau dat wel,CCONJ ADV ADV DET NOUN PRON ADV ,en daarachter nog een cirkelplateau dat wel ,en_en#CCONJ daarachter_daarachter#ADV nog_nog#ADV een_een#DET cirkelplateau_cirkelplateau#NOUN dat_dat#PRON wel_wel#ADV ,58.213,61.073,R,pair04_B,een cirkelplateau dat wel,een cirkelplateau dat wel,DET NOUN PRON ADV,een#DET cirkelplateau#NOUN dat#PRON wel#ADV,manual,True,manual
pair04,29,1,other,gesture,64.075,64.465,,Post-stroke hold,0.39000000000000057,09,ja ik heb alleen maar a b c d,B,1,B,5,5,1,ja ik heb alleen maar a b c d,INTJ PRON VERB ADV ADV SYM SYM SYM SYM ,ja ik hebben alleen maar a b c d ,ja_ja#INTJ ik_ik#PRON heb_hebben#VERB alleen_alleen#ADV maar_maar#ADV a_a#SYM b_b#SYM c_c#SYM d_d#SYM ,63.897,66.41,R,pair04_B,ja ik heb alleen,ja ik hebben alleen,INTJ PRON VERB ADV,ja#INTJ ik#PRON hebben#VERB alleen#ADV,manual,True,manual
pair04,34,1,iconic,gesture,75.773,76.412,main,,0.63900000000001,06,um ik heb dus uh die hoofdbak weer gewoon,A,2,A,F,F,1,ik heb dus die hoofdbak weer gewoon,PRON AUX ADV DET NOUN ADV ADJ ,ik hebben dus die hoofdbak weer gewoon ,ik_ik#PRON heb_hebben#AUX dus_dus#ADV die_die#DET hoofdbak_hoofdbak#NOUN weer_weer#ADV gewoon_gewoon#ADJ ,74.203,77.163,"R, L",pair04_A,die hoofdbak weer,die hoofdbak weer,DET NOUN ADV,die#DET hoofdbak#NOUN weer#ADV,manual,True,manual
pair04,34,1,iconic,gesture,76.715,77.197,main,,0.4819999999999993,06,um ik heb dus uh die hoofdbak weer gewoon,A,2,A,F,F,1,ik heb dus die hoofdbak weer gewoon,PRON AUX ADV DET NOUN ADV ADJ ,ik hebben dus die hoofdbak weer gewoon ,ik_ik#PRON heb_hebben#AUX dus_dus#ADV die_die#DET hoofdbak_hoofdbak#NOUN weer_weer#ADV gewoon_gewoon#ADJ ,74.203,77.163,"R, L",pair04_A,weer gewoon die,weer gewoon die,ADV ADJ PRON,weer#ADV gewoon#ADJ die#PRON,manual,True,manual
pair04,36,1,iconic,gesture,80.186,80.569,06B,,0.38299999999999557,06,dan heb ik een soort ronde neus op de voorkant en daar ja dat noem ik maar even een piercing zit een staaf doorheen,A,2,A,F,F,1,dan heb ik een soort ronde neus op de voorkant en daar ja dat noem ik maar even een piercing zit een staaf doorheen,ADV VERB PRON DET NOUN ADJ NOUN ADP DET NOUN CCONJ ADV INTJ PRON VERB PRON ADV ADV DET NOUN VERB DET NOUN ADP ,dan hebben ik een soort rond neus op de voorkant en daar ja dat noemen ik maar even een piercing zitten een staaf doorheen ,dan_dan#ADV heb_hebben#VERB ik_ik#PRON een_een#DET soort_soort#NOUN ronde_rond#ADJ neus_neus#NOUN op_op#ADP de_de#DET voorkant_voorkant#NOUN en_en#CCONJ daar_daar#ADV ja_ja#INTJ dat_dat#PRON noem_noemen#VERB ik_ik#PRON maar_maar#ADV even_even#ADV een_een#DET piercing_piercing#NOUN zit_zitten#VERB een_een#DET staaf_staaf#NOUN doorheen_doorheen#ADP ,78.473,84.778,R,pair04_A,ronde neus op de,rond neus op de,ADJ NOUN ADP DET,rond#ADJ neus#NOUN op#ADP de#DET,manual,True,manual
pair04,36,1,iconic,gesture,83.813,84.156,06D,,0.3430000000000035,06,dan heb ik een soort ronde neus op de voorkant en daar ja dat noem ik maar even een piercing zit een staaf doorheen,A,2,A,F,F,1,dan heb ik een soort ronde neus op de voorkant en daar ja dat noem ik maar even een piercing zit een staaf doorheen,ADV VERB PRON DET NOUN ADJ NOUN ADP DET NOUN CCONJ ADV INTJ PRON VERB PRON ADV ADV DET NOUN VERB DET NOUN ADP ,dan hebben ik een soort rond neus op de voorkant en daar ja dat noemen ik maar even een piercing zitten een staaf doorheen ,dan_dan#ADV heb_hebben#VERB ik_ik#PRON een_een#DET soort_soort#NOUN ronde_rond#ADJ neus_neus#NOUN op_op#ADP de_de#DET voorkant_voorkant#NOUN en_en#CCONJ daar_daar#ADV ja_ja#INTJ dat_dat#PRON noem_noemen#VERB ik_ik#PRON maar_maar#ADV even_even#ADV een_een#DET piercing_piercing#NOUN zit_zitten#VERB een_een#DET staaf_staaf#NOUN doorheen_doorheen#ADP ,78.473,84.778,"R, L",pair04_A,zit een staaf,zitten een staaf,VERB DET NOUN,zitten#VERB een#DET staaf#NOUN,manual,True,manual
pair04,38,1,iconic,gesture,86.279,87.22,06C,,0.9410000000000025,06,en aan de rechterkant van die staaf zit een cirkeltje,A,2,A,F,F,1,en aan de rechterkant van die staaf zit een cirkeltje,CCONJ ADP DET NOUN ADP DET NOUN VERB DET NOUN ,en aan de rechterkant van die staaf zitten een cirkelt ,en_en#CCONJ aan_aan#ADP de_de#DET rechterkant_rechterkant#NOUN van_van#ADP die_die#DET staaf_staaf#NOUN zit_zitten#VERB een_een#DET cirkeltje_cirkelt#NOUN ,84.778,87.367,R,pair04_A,die staaf zit een cirkeltje,die staaf zitten een cirkelt,DET NOUN VERB DET NOUN,die#DET staaf#NOUN zitten#VERB een#DET cirkelt#NOUN,manual,True,manual
pair04,40,1,iconic,gesture,92.689,92.988,undecided,,0.2990000000000066,06,uh nee ik heb geen plateau ,A,2,A,F,F,1,nee ik heb geen plateau,INTJ PRON VERB DET NOUN ,nee ik hebben geen plateau ,nee_nee#INTJ ik_ik#PRON heb_hebben#VERB geen_geen#DET plateau_plateau#NOUN ,91.561,93.391,"R, L",pair04_A,nee ik heb geen plateau,nee ik hebben geen plateau,INTJ PRON VERB DET NOUN,nee#INTJ ik#PRON hebben#VERB geen#DET plateau#NOUN,manual,True,manual
pair04,41,1,iconic,gesture,94.052,95.209,main,,1.1569999999999965,06,ik heb dus gewoon de de bak,A,2,A,F,F,1,ik heb dus gewoon de de bak,PRON AUX ADV ADJ DET DET NOUN ,ik hebben dus gewoon de de bak ,ik_ik#PRON heb_hebben#AUX dus_dus#ADV gewoon_gewoon#ADJ de_de#DET de_de#DET bak_bak#NOUN ,93.444,95.017,"R, L",pair04_A,heb dus gewoon de de bak,hebben dus gewoon de de bak,AUX ADV ADJ DET DET NOUN,hebben#AUX dus#ADV gewoon#ADJ de#DET de#DET bak#NOUN,manual,True,manual
pair04,43,1,iconic,gesture,97.075,97.837,06B,,0.7620000000000005,06,um met een ronde neus een rond een soort ei eigenlijk,A,2,A,F,F,1,met een ronde neus een rond een soort ei eigenlijk,ADP DET ADJ NOUN DET ADP DET NOUN NOUN ADJ ,met een rond neus een rond een soort ei eigenlijk ,met_met#ADP een_een#DET ronde_rond#ADJ neus_neus#NOUN een_een#DET rond_rond#ADP een_een#DET soort_soort#NOUN ei_ei#NOUN eigenlijk_eigenlijk#ADJ ,95.495,99.96,R,pair04_A,een ronde neus een,een rond neus een,DET ADJ NOUN DET,een#DET rond#ADJ neus#NOUN een#DET,manual,True,manual
pair04,43,1,iconic,gesture,98.418,98.982,06B,,0.563999999999993,06,um met een ronde neus een rond een soort ei eigenlijk,A,2,A,F,F,1,met een ronde neus een rond een soort ei eigenlijk,ADP DET ADJ NOUN DET ADP DET NOUN NOUN ADJ ,met een rond neus een rond een soort ei eigenlijk ,met_met#ADP een_een#DET ronde_rond#ADJ neus_neus#NOUN een_een#DET rond_rond#ADP een_een#DET soort_soort#NOUN ei_ei#NOUN eigenlijk_eigenlijk#ADJ ,95.495,99.96,"R, L",pair04_A,een rond een soort ei,een rond een soort ei,DET ADP DET NOUN NOUN,een#DET rond#ADP een#DET soort#NOUN ei#NOUN,manual,True,manual
pair04,45,1,iconic,gesture,100.639,101.0,06B,,0.3610000000000042,06,aan de voorkant van die bak,A,2,A,F,F,1,aan de voorkant van die bak,ADP DET NOUN ADP DET NOUN ,aan de voorkant van die bak ,aan_aan#ADP de_de#DET voorkant_voorkant#NOUN van_van#ADP die_die#DET bak_bak#NOUN ,100.584,101.977,R,pair04_A,aan de voorkant van,aan de voorkant van,ADP DET NOUN ADP,aan#ADP de#DET voorkant#NOUN van#ADP,manual,True,manual
